名称,类型,图标,消耗,requirement
萤火虫,cindersProducer,"<i class=""mdi mdi-bee""></i>","$lvl > 0 ? { 光: store.getters[' \cdot /新的更新!']('非第一生产者成本', 1000  \cdot  {(1.15)}^{lvl}) } : {}$",
发光蘑菇,cindersProducer,"<i class=""mdi mdi-mushroom""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 50M  \cdot  {(1.16)}^{lvl}) }$",$store.state.升级成本.item.萤火虫.达到等级 > 0$
发光鱼,cindersProducer,"<i class=""mdi mdi-fish""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 3T  \cdot  {(1.17)}^{lvl}) }$",$store.state.升级成本.item.发光蘑菇.达到等级 > 0$
灯,cindersProducer,"<i class=""mdi mdi-lamp""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 240Qa  \cdot  {(1.18)}^{lvl}) }$",$store.state.升级成本.item.发光鱼.达到等级 > 0$
营火,cindersProducer,"<i class=""mdi mdi-campfire""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 24Sx  \cdot  {(1.19)}^{lvl}) }$",$store.state.升级成本.item.灯.达到等级 > 0$
珊瑚,cindersProducer,"<i class=""mdi mdi-spa""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 3.6O  \cdot  {(1.2)}^{lvl}) }$",$store.state.升级成本.item.营火.达到等级 > 0$
海蜇,cindersProducer,"<i class=""mdi mdi-jellyfish""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 720N  \cdot  {(1.25)}^{lvl}) }$",$store.state.升级成本.item.珊瑚.达到等级 > 0$
夜花,cindersProducer,"<i class=""mdi mdi-flower""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 180UD  \cdot  {(1.3)}^{lvl}) }$",$store.state.升级成本.item.海蜇.达到等级 > 0$
霓虹灯,cindersProducer,"<i class=""mdi mdi-ruler""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 54TD  \cdot  {(1.35)}^{lvl}) }$",$store.state.升级成本.item.夜花.达到等级 > 0$
太阳药水,cindersProducer,"<i class=""mdi mdi-white-balance-sunny""></i>","${ 光: store.getters[' \cdot /新的更新!'](lvl > 0 ? '非第一生产者成本' : '第一生产者成本', 27QiD  \cdot  {(1.5)}^{lvl}) }$",$store.state.升级成本.item.霓虹灯.达到等级 > 0$